Port,TCP/UDP,Probe,Open,Open/Reset,Open/Timeout,Closed/Reset,Timeout,Total
0,_SUMS_,_SUMS_,1516223500,1295050170,2384671240,54350488280,119709280000,179255713190
80,TCP,GetRequest,173710000,14270000,51590000,20990000,360340000,620900000
443,TCP,SSLSessionReq,77520000,5350000,13610000,72480000,326930000,495890000
21,TCP,GetRequest,70280000,10590000,12980000,25940000,377950000,497740000
80,TCP,HTTPOptions,56240000,10360000,34030000,46170000,103490000,250290000
80,TCP,FourOhFourRequest,56050000,6400000,5720000,46640000,103500000,218310000
80,TCP,crossdomainxml,55080000,5270000,35070000,7330000,115780000,218530000
23,TCP,GenericLines,53600000,10240000,5000000,22980000,357170000,448990000
80,TCP,RTSPRequest,53330000,10700000,31380000,47750000,100470000,243630000
53,UDP,DNSStatusRequest,47050000,0,0,343850000,0,390900000
25,TCP,Hello,44130000,9020000,26990000,79330000,344060000,503530000
161,UDP,SNMPv3GetRequest,34020000,0,0,117520000,0,151540000
53,UDP,DNSVersionBindReq,34010000,0,0,213340000,0,247350000
443,TCP,GetRequest,33470000,25800000,25300000,66180000,314300000,465050000
80,TCP,X11Probe,33430000,12220000,114560000,82770000,206300000,449280000
443,TCP,SSLv23SessionReq,28620000,1470000,5030000,60190000,110780000,206090000
8080,TCP,GetRequest,28490000,3990000,6840000,51610000,329170000,420100000
25,TCP,GetRequest,28210000,5390000,16200000,16280000,240640000,306720000
4567,TCP,GetRequest,26300000,1800000,2740000,17170000,230900000,278910000
53,TCP,DNSStatusRequest,22630000,11130000,8590000,79940000,381140000,503430000
21,TCP,SSLSessionReq,22290000,3260000,5290000,6920000,103820000,141580000
53,TCP,DNSVersionBindReq,20150000,7890000,6130000,23200000,327810000,385180000
23,TCP,GetRequest,18530000,3590000,2150000,6480000,102640000,133390000
21,TCP,Help,18240000,3300000,3310000,44210000,83710000,152770000
21,TCP,GenericLines,17940000,3020000,4780000,5950000,83300000,114990000
22,TCP,SSLSessionReq,16300000,18670000,3210000,14760000,224050000,276990000
143,TCP,GetRequest,15660000,3230000,12360000,22940000,317380000,371570000
5060,UDP,SIPOptions,14830000,0,0,127190000,0,142020000
25,TCP,Help,13730000,3450000,9050000,40670000,87010000,153910000
5060,TCP,SIPOptions,13660000,1540000,13230000,79790000,236850000,345070000
8080,TCP,Socks5,12880000,10130000,9270000,133790000,254030000,420100000
993,TCP,SSLSessionReq,12800000,2150000,6990000,66150000,313500000,401590000
23,TCP,SSLSessionReq,12170000,2210000,1300000,4230000,67100000,87010000
110,TCP,GenericLines,12010000,3010000,9320000,15380000,215040000,254760000
3389,TCP,TerminalServer,10350000,1820000,2820000,71210000,226140000,312340000
143,TCP,SSLSessionReq,10140000,2160000,7100000,15270000,214850000,249520000
161,UDP,SNMPv1public,9230000,0,0,122720000,0,131950000
22,TCP,GetRequest,9000000,9470000,2100000,6960000,109460000,136990000
443,TCP,vmware-esx,8680000,22760000,23310000,129660000,239440000,423850000
8080,TCP,RTSPRequest,8620000,3490000,2980000,69640000,122310000,207040000
25,TCP,SSLSessionReq,8470000,3070000,5200000,2890000,45700000,65330000
